;BUX;BUMIX;;
31-ian-2023;45.339,18;3.627,16;;
30-ian-2023;45.642,32;3.668,50;;
27-ian-2023;46.645,41;3.666,30;;
26-ian-2023;46.817,92;3.640,99;;
25-ian-2023;46.249,05;3.633,00;;
24-ian-2023;46.901,76;3.667,95;;
23-ian-2023;46.777,30;3.657,36;;
20-ian-2023;46.440,14;3.676,79;;
19-ian-2023;46.691,80;3.668,08;;
18-ian-2023;46.855,58;3.688,85;;
17-ian-2023;46.313,70;3.678,67;;
16-ian-2023;46.621,13;3.703,51;;
13-ian-2023;46.097,83;3.699,59;;
12-ian-2023;46.151,47;3.703,80;;
11-ian-2023;46.277,27;3.706,19;;
10-ian-2023;46.042,13;3.712,45;;
09-ian-2023;45.832,49;3.712,32;;
06-ian-2023;45.419,78;3.686,29;;
05-ian-2023;45.228,81;3.675,88;;
04-ian-2023;44.937,01;3.664,00;;
03-ian-2023;44.614,96;3.653,01;;
02-ian-2023;43.551,73;3.597,64;;
30-dec-2022;43.793,76;3.604,62;;
29-dec-2022;44.033,27;3.599,62;;
28-dec-2022;44.155,50;3.602,49;;
27-dec-2022;44.220,76;3.616,62;;
23-dec-2022;45.007,80;3.637,32;;
22-dec-2022;45.538,06;3.614,94;;
21-dec-2022;45.589,30;3.647,78;;
20-dec-2022;45.481,08;3.641,55;;
19-dec-2022;45.270,04;3.618,56;;
16-dec-2022;45.069,12;3.653,48;;
15-dec-2022;44.809,64;3.607,73;;
14-dec-2022;45.084,89;3.665,98;;
13-dec-2022;44.928,04;3.651,01;;
12-dec-2022;43.950,53;3.612,90;;
09-dec-2022;44.182,00;3.623,85;;
08-dec-2022;43.842,37;3.626,62;;
07-dec-2022;44.614,88;3.640,83;;
06-dec-2022;45.333,63;3.670,87;;
05-dec-2022;44.666,01;3.659,59;;
02-dec-2022;45.804,29;3.666,77;;
01-dec-2022;46.368,37;3.664,01;;
30-nov-2022;45.984,19;3.655,06;;
29-nov-2022;45.780,62;3.687,85;;
28-nov-2022;45.588,74;3.692,15;;
25-nov-2022;45.715,33;3.699,92;;
24-nov-2022;45.276,59;3.695,54;;
23-nov-2022;44.930,52;3.690,99;;
22-nov-2022;45.335,11;3.697,58;;
21-nov-2022;44.592,90;3.676,44;;
18-nov-2022;44.495,10;3.701,55;;
17-nov-2022;44.037,15;3.670,77;;
16-nov-2022;44.277,83;3.675,21;;
15-nov-2022;44.308,29;3.684,60;;
14-nov-2022;44.157,71;3.680,66;;
11-nov-2022;43.698,34;3.668,02;;
10-nov-2022;43.164,34;3.677,13;;
09-nov-2022;43.973,77;3.728,55;;
08-nov-2022;43.840,56;3.738,99;;
07-nov-2022;43.812,28;3.717,89;;
04-nov-2022;42.629,68;3.611,19;;
03-nov-2022;41.768,70;3.562,13;;
02-nov-2022;41.414,05;3.568,74;;
28-oct-2022;41.053,71;3.571,49;;
27-oct-2022;40.990,22;3.526,76;;
26-oct-2022;40.553,56;3.525,96;;
25-oct-2022;40.588,89;3.520,84;;
24-oct-2022;40.091,49;3.524,01;;
21-oct-2022;40.431,97;3.527,62;;
20-oct-2022;40.451,17;3.526,72;;
19-oct-2022;40.070,72;3.548,12;;
18-oct-2022;40.910,44;3.567,10;;
17-oct-2022;39.855,56;3.542,81;;
14-oct-2022;39.603,36;3.548,25;;
13-oct-2022;38.787,95;3.512,95;;
12-oct-2022;38.817,30;3.528,74;;
11-oct-2022;38.718,68;3.544,39;;
10-oct-2022;39.091,49;3.559,59;;
07-oct-2022;39.537,63;3.591,28;;
06-oct-2022;39.256,29;3.578,28;;
05-oct-2022;39.385,30;3.581,01;;
04-oct-2022;39.911,20;3.612,12;;
03-oct-2022;38.420,33;3.574,83;;
30-sept-2022;37.838,30;3.586,57;;
29-sept-2022;37.035,79;3.560,49;;
28-sept-2022;37.731,27;3.587,63;;
27-sept-2022;38.549,03;3.627,58;;
26-sept-2022;38.528,86;3.634,32;;
23-sept-2022;38.657,41;3.684,76;;
22-sept-2022;39.548,71;3.691,48;;
21-sept-2022;39.241,07;3.713,58;;
20-sept-2022;39.691,46;3.756,39;;
19-sept-2022;40.261,73;3.765,34;;
16-sept-2022;40.057,18;3.804,82;;
15-sept-2022;40.690,91;3.798,34;;
14-sept-2022;41.178,24;3.806,02;;
13-sept-2022;41.575,55;3.826,11;;
12-sept-2022;41.624,90;3.828,68;;
09-sept-2022;40.910,81;3.792,35;;
08-sept-2022;40.863,94;3.774,65;;
07-sept-2022;41.292,35;3.806,85;;
06-sept-2022;40.851,24;3.814,06;;
05-sept-2022;41.130,96;3.808,94;;
02-sept-2022;41.941,27;3.862,17;;
01-sept-2022;41.447,57;3.842,51;;
31-aug-2022;41.877,22;3.918,89;;
30-aug-2022;42.362,17;3.887,64;;
29-aug-2022;42.631,81;3.918,33;;
26-aug-2022;43.343,38;3.930,21;;
25-aug-2022;43.428,43;3.925,05;;
24-aug-2022;43.097,98;3.900,16;;
23-aug-2022;43.004,14;3.909,38;;
22-aug-2022;42.705,36;3.901,65;;
19-aug-2022;42.990,47;3.852,18;;
18-aug-2022;43.099,47;3.809,92;;
17-aug-2022;42.980,64;3.812,78;;
16-aug-2022;43.528,08;3.814,20;;
15-aug-2022;43.034,16;3.795,71;;
12-aug-2022;43.662,95;3.808,63;;
11-aug-2022;44.148,98;3.792,28;;
10-aug-2022;44.130,61;3.760,06;;
09-aug-2022;42.733,39;3.743,44;;
08-aug-2022;44.034,83;3.777,58;;
05-aug-2022;43.468,28;3.801,11;;
04-aug-2022;43.332,83;3.758,69;;
03-aug-2022;42.931,04;3.752,66;;
02-aug-2022;42.182,66;3.741,51;;
01-aug-2022;42.265,24;3.740,03;;
29-iul-2022;41.805,28;3.706,53;;
28-iul-2022;41.771,13;3.686,86;;
27-iul-2022;41.653,18;3.665,20;;
26-iul-2022;41.174,99;3.674,77;;
25-iul-2022;41.725,26;3.697,77;;
22-iul-2022;42.327,67;3.688,58;;
21-iul-2022;42.030,31;3.652,84;;
20-iul-2022;41.139,32;3.586,35;;
19-iul-2022;40.740,51;3.560,99;;
18-iul-2022;40.355,51;3.573,80;;
15-iul-2022;39.659,23;3.565,38;;
14-iul-2022;39.246,42;3.556,22;;
13-iul-2022;38.902,62;3.609,80;;
12-iul-2022;38.519,66;3.619,71;;
11-iul-2022;39.151,31;3.700,17;;
08-iul-2022;39.846,64;3.705,12;;
07-iul-2022;39.689,27;3.726,79;;
06-iul-2022;39.352,08;3.714,21;;
05-iul-2022;39.256,26;3.747,98;;
04-iul-2022;39.707,19;3.780,03;;
01-iul-2022;39.331,33;3.707,69;;
30-iun-2022;39.240,53;3.711,97;;
29-iun-2022;39.900,32;3.754,10;;
28-iun-2022;40.481,51;3.775,06;;
27-iun-2022;39.501,86;3.786,12;;
24-iun-2022;39.412,74;3.795,10;;
23-iun-2022;39.614,00;3.799,12;;
22-iun-2022;40.035,72;3.800,40;;
21-iun-2022;40.936,77;3.787,57;;
20-iun-2022;39.691,12;3.744,16;;
17-iun-2022;39.299,75;3.741,41;;
16-iun-2022;39.224,77;3.771,60;;
15-iun-2022;39.318,71;3.800,29;;
14-iun-2022;38.706,29;3.770,89;;
13-iun-2022;37.942,09;3.788,13;;
10-iun-2022;38.950,67;3.866,89;;
09-iun-2022;39.663,15;3.877,62;;
08-iun-2022;40.350,43;3.886,93;;
07-iun-2022;40.330,91;3.905,54;;
03-iun-2022;41.304,36;3.951,09;;
02-iun-2022;40.812,33;3.895,48;;
01-iun-2022;40.512,77;3.873,28;;
31-mai-2022;39.397,41;3.846,47;;
30-mai-2022;38.751,18;3.870,31;;
27-mai-2022;38.644,57;3.853,23;;
26-mai-2022;39.234,20;3.852,63;;
25-mai-2022;41.517,26;3.904,40;;
24-mai-2022;42.978,09;3.930,18;;
23-mai-2022;43.457,58;3.956,67;;
20-mai-2022;41.779,48;3.950,99;;
19-mai-2022;41.473,45;3.899,47;;
18-mai-2022;42.896,59;3.980,35;;
17-mai-2022;41.906,58;3.960,45;;
16-mai-2022;41.248,02;3.923,59;;
13-mai-2022;41.255,70;3.948,38;;
12-mai-2022;40.000,21;3.903,36;;
11-mai-2022;40.929,35;3.977,38;;
10-mai-2022;40.663,48;3.985,61;;
09-mai-2022;41.562,10;3.998,29;;
06-mai-2022;42.108,63;4.020,88;;
05-mai-2022;42.515,32;4.040,66;;
04-mai-2022;43.170,67;4.018,15;;
03-mai-2022;43.592,87;4.049,76;;
02-mai-2022;42.703,38;4.014,12;;
29-apr-2022;43.469,84;4.048,63;;
28-apr-2022;43.549,19;4.029,19;;
27-apr-2022;42.116,04;3.968,29;;
26-apr-2022;41.848,66;4.028,27;;
25-apr-2022;42.280,37;4.050,28;;
22-apr-2022;43.176,64;4.091,50;;
21-apr-2022;43.265,66;4.122,37;;
20-apr-2022;43.208,44;4.138,59;;
19-apr-2022;43.026,80;4.140,64;;
14-apr-2022;42.999,39;4.138,88;;
13-apr-2022;42.651,63;4.157,17;;
12-apr-2022;41.766,96;4.115,21;;
11-apr-2022;41.972,84;4.139,94;;
08-apr-2022;42.191,13;4.151,86;;
07-apr-2022;41.807,97;4.103,67;;
06-apr-2022;41.616,26;4.014,98;;
05-apr-2022;43.787,00;4.197,75;;
04-apr-2022;45.397,52;4.304,06;;
01-apr-2022;45.034,79;4.229,64;;
31-mar-2022;44.726,28;4.184,56;;
30-mar-2022;45.890,18;4.154,82;;
29-mar-2022;46.707,52;4.204,68;;
28-mar-2022;44.310,12;4.158,49;;
25-mar-2022;43.983,38;4.126,59;;
24-mar-2022;43.817,63;4.099,91;;
23-mar-2022;44.612,73;4.097,87;;
22-mar-2022;44.338,45;4.180,67;;
21-mar-2022;44.256,70;4.076,32;;
18-mar-2022;43.935,56;3.928,07;;
17-mar-2022;44.596,58;3.940,33;;
16-mar-2022;44.126,44;3.873,52;;
11-mar-2022;42.905,55;3.652,02;;
10-mar-2022;42.028,33;3.624,46;;
09-mar-2022;42.909,74;3.629,46;;
08-mar-2022;41.515,50;3.546,98;;
07-mar-2022;39.883,29;3.487,12;;
04-mar-2022;40.246,70;3.572,17;;
03-mar-2022;41.651,26;3.632,01;;
02-mar-2022;39.976,11;3.540,05;;
01-mar-2022;38.913,62;3.553,22;;
28-feb-2022;43.731,25;3.765,10;;
25-feb-2022;45.769,16;3.912,97;;
24-feb-2022;43.102,34;3.684,09;;
23-feb-2022;47.762,14;4.004,05;;
22-feb-2022;48.177,46;3.936,35;;
21-feb-2022;48.470,72;3.993,64;;
18-feb-2022;50.237,20;4.128,63;;
17-feb-2022;51.305,38;4.161,67;;
16-feb-2022;51.756,19;4.177,18;;
15-feb-2022;51.295,36;4.140,47;;
14-feb-2022;51.262,00;4.131,52;;
11-feb-2022;52.141,58;4.199,20;;
10-feb-2022;52.566,76;4.194,07;;
09-feb-2022;52.930,30;4.202,77;;
08-feb-2022;52.861,48;4.183,07;;
07-feb-2022;52.054,67;4.209,00;;
04-feb-2022;51.806,40;4.211,13;;
03-feb-2022;52.284,64;4.206,58;;
02-feb-2022;52.910,14;4.217,95;;
01-feb-2022;52.959,27;4.189,40;;
31-ian-2022;53.442,24;4.168,76;;
28-ian-2022;52.838,78;4.172,22;;
27-ian-2022;52.866,56;4.177,94;;
26-ian-2022;51.958,75;4.194,84;;
25-ian-2022;51.134,63;4.168,17;;
24-ian-2022;51.325,34;4.158,45;;
21-ian-2022;52.169,80;4.272,85;;
20-ian-2022;52.349,65;4.308,05;;
19-ian-2022;53.121,90;4.344,07;;
18-ian-2022;52.545,64;4.351,82;;
17-ian-2022;53.509,01;4.376,90;;
14-ian-2022;52.675,90;4.380,91;;
13-ian-2022;53.736,16;4.421,96;;
12-ian-2022;54.405,84;4.408,77;;
11-ian-2022;53.599,36;4.394,39;;
10-ian-2022;52.416,01;4.381,19;;
07-ian-2022;51.956,74;4.382,58;;
06-ian-2022;51.668,96;4.382,17;;
05-ian-2022;52.097,34;4.404,20;;
04-ian-2022;51.785,29;4.388,32;;
03-ian-2022;51.924,62;4.326,64;;
30-dec-2021;50.720,71;4.232,45;;
29-dec-2021;50.342,57;4.209,66;;
28-dec-2021;49.718,15;4.165,48;;
27-dec-2021;49.654,12;4.199,65;;
23-dec-2021;49.762,24;4.209,89;;
22-dec-2021;49.083,56;4.197,58;;
21-dec-2021;50.571,05;4.220,66;;
20-dec-2021;50.471,14;4.203,79;;
17-dec-2021;50.887,30;4.218,74;;
16-dec-2021;50.672,47;4.203,45;;
15-dec-2021;50.131,61;4.167,99;;
14-dec-2021;50.153,00;4.182,68;;
13-dec-2021;50.581,29;4.256,89;;
10-dec-2021;51.076,61;4.258,95;;
09-dec-2021;51.262,82;4.259,57;;
08-dec-2021;51.261,63;4.266,90;;
07-dec-2021;51.268,65;4.277,37;;
06-dec-2021;50.723,42;4.291,58;;
03-dec-2021;50.904,91;4.315,39;;
02-dec-2021;51.420,71;4.270,44;;
01-dec-2021;51.860,19;4.297,37;;
30-nov-2021;51.464,60;4.320,18;;
29-nov-2021;51.579,66;4.260,04;;
26-nov-2021;50.961,25;4.273,42;;
25-nov-2021;52.364,37;4.316,18;;
24-nov-2021;52.535,97;4.275,81;;
23-nov-2021;51.424,26;4.245,77;;
22-nov-2021;50.483,99;4.277,83;;
19-nov-2021;51.472,91;4.275,83;;
18-nov-2021;51.992,30;4.305,32;;
17-nov-2021;51.549,36;4.308,88;;
16-nov-2021;51.818,41;4.290,72;;
15-nov-2021;51.789,80;4.267,57;;
12-nov-2021;52.306,67;4.219,97;;
11-nov-2021;53.073,34;4.226,99;;
10-nov-2021;53.389,23;4.285,37;;
09-nov-2021;54.099,27;4.286,95;;
08-nov-2021;54.132,14;4.323,72;;
05-nov-2021;55.099,88;4.356,33;;
04-nov-2021;55.925,58;4.335,89;;
03-nov-2021;54.914,54;4.334,22;;
02-nov-2021;54.548,90;4.371,95;;
29-oct-2021;54.197,71;4.381,14;;
28-oct-2021;53.766,44;4.396,35;;
27-oct-2021;54.780,65;4.414,15;;
26-oct-2021;55.191,91;4.419,51;;
25-oct-2021;54.867,62;4.428,31;;
22-oct-2021;55.254,39;4.392,46;;
21-oct-2021;55.121,35;4.367,75;;
20-oct-2021;54.393,63;4.375,20;;
19-oct-2021;54.356,89;4.370,65;;
18-oct-2021;54.637,92;4.366,68;;
15-oct-2021;54.764,34;4.387,15;;
14-oct-2021;55.136,00;4.392,24;;
13-oct-2021;54.733,73;4.388,26;;
12-oct-2021;54.648,43;4.368,19;;
11-oct-2021;54.432,56;4.371,07;;
08-oct-2021;53.955,85;4.325,13;;
07-oct-2021;53.844,59;4.310,14;;
06-oct-2021;53.305,16;4.273,07;;
05-oct-2021;53.369,78;4.326,82;;
04-oct-2021;53.234,94;4.362,94;;
01-oct-2021;53.589,80;4.372,74;;
30-sept-2021;52.854,65;4.365,64;;
29-sept-2021;52.004,60;4.358,99;;
28-sept-2021;51.446,20;4.360,92;;
27-sept-2021;51.365,99;4.362,09;;
24-sept-2021;51.453,71;4.324,31;;
23-sept-2021;51.946,86;4.349,07;;
22-sept-2021;51.298,14;4.270,89;;
21-sept-2021;50.815,56;4.268,42;;
20-sept-2021;50.982,15;4.270,78;;
17-sept-2021;52.376,91;4.404,20;;
16-sept-2021;52.331,31;4.429,91;;
15-sept-2021;52.317,91;4.395,20;;
14-sept-2021;52.392,39;4.468,74;;
13-sept-2021;52.922,72;4.468,47;;
10-sept-2021;52.755,68;4.424,38;;
09-sept-2021;53.015,67;4.407,76;;
08-sept-2021;52.514,94;4.395,86;;
07-sept-2021;52.623,96;4.354,49;;
06-sept-2021;52.743,09;4.417,57;;
03-sept-2021;52.255,11;4.271,59;;
02-sept-2021;51.830,24;4.233,18;;
01-sept-2021;51.946,96;4.147,64;;
31-aug-2021;51.969,67;4.151,22;;
30-aug-2021;51.602,58;4.095,22;;
27-aug-2021;51.068,80;4.079,53;;
26-aug-2021;50.640,51;4.080,45;;
25-aug-2021;51.093,80;4.053,57;;
24-aug-2021;51.633,85;4.041,06;;
23-aug-2021;52.023,19;4.029,07;;
19-aug-2021;51.696,55;4.009,73;;
18-aug-2021;52.288,87;4.027,31;;
17-aug-2021;51.626,62;4.013,31;;
16-aug-2021;50.183,56;4.002,18;;
