;BUX;BUMIX;;
14-apr-2021;42.514,94;3.771,86;;
13-apr-2021;42.865,63;3.766,75;;
12-apr-2021;43.267,25;3.795,78;;
09-apr-2021;43.775,41;3.808,26;;
08-apr-2021;44.194,16;3.798,20;;
07-apr-2021;44.357,64;3.777,27;;
06-apr-2021;44.357,86;3.761,95;;
01-apr-2021;44.242,93;3.754,04;;
31-mar-2021;44.326,18;3.754,86;;
30-mar-2021;44.746,76;3.782,90;;
29-mar-2021;44.617,73;3.760,12;;
26-mar-2021;44.201,25;3.765,17;;
25-mar-2021;44.168,81;3.762,10;;
24-mar-2021;44.290,24;3.778,02;;
23-mar-2021;43.603,02;3.756,18;;
22-mar-2021;43.851,96;3.756,80;;
19-mar-2021;44.042,12;3.761,30;;
18-mar-2021;44.465,75;3.730,13;;
17-mar-2021;43.504,47;3.722,11;;
16-mar-2021;44.268,77;3.753,85;;
12-mar-2021;43.711,84;3.762,99;;
11-mar-2021;43.784,89;3.720,43;;
10-mar-2021;43.579,39;3.703,66;;
09-mar-2021;43.312,66;3.686,14;;
08-mar-2021;43.540,36;3.680,69;;
05-mar-2021;43.269,00;3.669,15;;
04-mar-2021;42.932,61;3.643,62;;
03-mar-2021;43.595,22;3.680,33;;
02-mar-2021;44.402,33;3.726,66;;
01-mar-2021;44.710,25;3.752,44;;
26-feb-2021;43.790,17;3.744,67;;
25-feb-2021;43.999,47;3.747,99;;
24-feb-2021;43.183,45;3.736,18;;
23-feb-2021;42.945,11;3.696,27;;
22-feb-2021;43.457,15;3.711,29;;
19-feb-2021;44.069,31;3.768,62;;
18-feb-2021;44.046,56;3.757,86;;
17-feb-2021;44.416,15;3.794,47;;
16-feb-2021;44.941,65;3.784,64;;
15-feb-2021;43.823,57;3.761,64;;
12-feb-2021;43.389,33;3.716,17;;
11-feb-2021;43.676,69;3.735,00;;
10-feb-2021;43.950,78;3.739,45;;
09-feb-2021;44.511,16;3.741,05;;
08-feb-2021;44.215,97;3.735,17;;
05-feb-2021;44.045,26;3.720,14;;
04-feb-2021;44.226,34;3.713,50;;
03-feb-2021;44.016,29;3.725,78;;
02-feb-2021;44.101,05;3.721,16;;
01-feb-2021;43.703,87;3.713,30;;
29-ian-2021;43.517,12;3.692,35;;
28-ian-2021;43.552,04;3.703,47;;
27-ian-2021;43.077,24;3.711,23;;
26-ian-2021;43.507,13;3.735,14;;
25-ian-2021;43.188,94;3.755,75;;
22-ian-2021;43.630,22;3.774,64;;
21-ian-2021;44.250,43;3.816,27;;
20-ian-2021;44.103,40;3.774,08;;
19-ian-2021;44.610,00;3.783,21;;
18-ian-2021;44.755,59;3.758,69;;
15-ian-2021;44.204,45;3.753,13;;
14-ian-2021;44.876,42;3.776,42;;
13-ian-2021;44.684,36;3.743,66;;
12-ian-2021;44.246,56;3.733,93;;
11-ian-2021;44.715,79;3.717,11;;
08-ian-2021;44.393,21;3.723,52;;
07-ian-2021;43.900,70;3.673,66;;
06-ian-2021;43.085,06;3.639,83;;
05-ian-2021;42.434,30;3.631,47;;
04-ian-2021;42.333,48;3.666,94;;
30-dec-2020;42.107,57;3.668,41;;
29-dec-2020;41.733,11;3.676,15;;
28-dec-2020;41.528,44;3.576,63;;
23-dec-2020;41.197,14;3.553,00;;
22-dec-2020;41.049,52;3.528,93;;
21-dec-2020;40.483,17;3.466,56;;
18-dec-2020;41.614,92;3.530,03;;
17-dec-2020;42.088,03;3.543,31;;
16-dec-2020;41.911,27;3.550,69;;
15-dec-2020;41.894,09;3.549,02;;
14-dec-2020;41.967,89;3.517,03;;
11-dec-2020;41.263,67;3.418,86;;
10-dec-2020;41.103,01;3.431,99;;
09-dec-2020;40.675,89;3.444,12;;
08-dec-2020;39.655,97;3.406,79;;
07-dec-2020;39.198,31;3.426,71;;
04-dec-2020;39.227,87;3.463,96;;
03-dec-2020;38.705,12;3.479,70;;
02-dec-2020;39.191,11;3.479,14;;
01-dec-2020;38.751,98;3.454,61;;
30-nov-2020;38.782,16;3.440,21;;
27-nov-2020;39.308,90;3.467,59;;
26-nov-2020;39.023,56;3.453,36;;
25-nov-2020;39.035,10;3.441,29;;
24-nov-2020;39.046,50;3.439,84;;
23-nov-2020;38.319,06;3.377,82;;
20-nov-2020;38.204,67;3.356,65;;
19-nov-2020;38.163,61;3.333,37;;
18-nov-2020;38.361,82;3.326,62;;
17-nov-2020;37.470,50;3.282,14;;
16-nov-2020;37.414,60;3.268,32;;
13-nov-2020;37.335,10;3.240,74;;
12-nov-2020;37.712,82;3.252,00;;
11-nov-2020;38.045,80;3.204,99;;
10-nov-2020;37.366,63;3.171,23;;
09-nov-2020;36.524,01;3.171,47;;
06-nov-2020;35.390,44;3.172,91;;
05-nov-2020;35.264,98;3.181,86;;
04-nov-2020;34.774,72;3.183,95;;
03-nov-2020;33.834,43;3.220,92;;
02-nov-2020;33.077,55;3.200,25;;
30-oct-2020;32.279,17;3.117,81;;
29-oct-2020;32.047,68;3.098,86;;
28-oct-2020;32.106,78;3.081,52;;
27-oct-2020;32.992,69;3.182,22;;
26-oct-2020;33.012,62;3.228,15;;
22-oct-2020;33.655,10;3.311,30;;
21-oct-2020;33.696,73;3.283,17;;
20-oct-2020;33.700,78;3.334,91;;
19-oct-2020;33.596,79;3.331,12;;
16-oct-2020;33.225,15;3.326,29;;
15-oct-2020;33.061,27;3.351,72;;
14-oct-2020;33.496,67;3.345,75;;
13-oct-2020;33.322,71;3.357,10;;
12-oct-2020;33.097,01;3.331,70;;
09-oct-2020;33.660,44;3.388,36;;
08-oct-2020;33.697,94;3.372,90;;
07-oct-2020;33.561,05;3.375,67;;
06-oct-2020;33.651,55;3.351,47;;
05-oct-2020;33.468,11;3.350,89;;
02-oct-2020;33.449,84;3.375,87;;
01-oct-2020;33.657,71;3.380,37;;
30-sept-2020;32.923,53;3.357,82;;
29-sept-2020;32.677,72;3.384,40;;
28-sept-2020;33.150,26;3.297,41;;
25-sept-2020;31.933,26;3.263,45;;
24-sept-2020;31.898,01;3.242,40;;
23-sept-2020;32.515,39;3.312,51;;
22-sept-2020;32.296,74;3.285,60;;
21-sept-2020;32.223,20;3.217,33;;
18-sept-2020;33.591,51;3.380,10;;
17-sept-2020;33.886,79;3.370,49;;
16-sept-2020;34.147,59;3.386,09;;
15-sept-2020;34.248,86;3.390,17;;
14-sept-2020;35.004,24;3.417,20;;
11-sept-2020;34.837,99;3.426,71;;
10-sept-2020;34.858,03;3.415,25;;
09-sept-2020;35.142,74;3.406,05;;
08-sept-2020;35.037,61;3.417,52;;
07-sept-2020;35.047,88;3.430,65;;
04-sept-2020;34.836,82;3.440,86;;
03-sept-2020;34.778,20;3.445,17;;
02-sept-2020;34.423,70;3.438,46;;
01-sept-2020;34.499,90;3.447,20;;
31-aug-2020;34.851,29;3.481,80;;
28-aug-2020;34.842,51;3.469,22;;
27-aug-2020;35.470,36;3.513,57;;
26-aug-2020;35.915,81;3.556,56;;
25-aug-2020;35.593,67;3.568,88;;
24-aug-2020;35.994,83;3.588,71;;
19-aug-2020;36.043,56;3.581,30;;
18-aug-2020;36.180,74;3.564,56;;
17-aug-2020;36.533,57;3.578,22;;
14-aug-2020;36.591,83;3.592,00;;
13-aug-2020;36.756,82;3.609,29;;
12-aug-2020;36.785,28;3.568,41;;
11-aug-2020;36.363,83;3.613,16;;
10-aug-2020;36.302,78;3.576,54;;
07-aug-2020;35.952,53;3.481,72;;
06-aug-2020;35.427,82;3.409,59;;
05-aug-2020;35.103,39;3.416,29;;
04-aug-2020;34.407,20;3.411,95;;
03-aug-2020;34.620,25;3.401,97;;
31-iul-2020;34.691,74;3.431,21;;
30-iul-2020;34.797,24;3.418,31;;
29-iul-2020;34.917,01;3.449,53;;
28-iul-2020;34.754,08;3.472,66;;
27-iul-2020;34.979,41;3.455,12;;
24-iul-2020;35.107,97;3.474,49;;
23-iul-2020;35.571,72;3.488,48;;
22-iul-2020;35.436,39;3.475,18;;
21-iul-2020;35.488,15;3.462,40;;
20-iul-2020;35.181,69;3.449,86;;
17-iul-2020;35.200,88;3.426,43;;
16-iul-2020;35.229,08;3.424,08;;
15-iul-2020;35.371,88;3.423,08;;
14-iul-2020;35.091,72;3.333,48;;
13-iul-2020;35.335,86;3.370,43;;
10-iul-2020;35.589,60;3.376,63;;
09-iul-2020;35.780,40;3.390,36;;
08-iul-2020;35.932,39;3.402,34;;
07-iul-2020;35.747,71;3.447,70;;
06-iul-2020;36.489,42;3.455,57;;
03-iul-2020;35.931,52;3.477,25;;
02-iul-2020;36.222,58;3.466,20;;
01-iul-2020;35.394,54;3.416,81;;
30-iun-2020;35.817,88;3.461,98;;
29-iun-2020;36.517,17;3.416,07;;
26-iun-2020;36.360,44;3.432,73;;
25-iun-2020;37.001,94;3.463,50;;
24-iun-2020;37.199,46;3.470,55;;
23-iun-2020;37.595,83;3.535,49;;
22-iun-2020;37.193,11;3.506,19;;
19-iun-2020;37.279,82;3.569,85;;
18-iun-2020;37.487,46;3.547,65;;
17-iun-2020;37.767,72;3.553,83;;
16-iun-2020;38.060,73;3.557,40;;
15-iun-2020;37.340,84;3.519,63;;
12-iun-2020;37.403,57;3.536,76;;
11-iun-2020;36.640,64;3.501,80;;
10-iun-2020;37.514,79;3.601,80;;
09-iun-2020;37.962,29;3.608,74;;
08-iun-2020;38.198,17;3.618,72;;
05-iun-2020;37.985,66;3.629,50;;
04-iun-2020;37.260,06;3.621,77;;
03-iun-2020;37.317,04;3.647,39;;
02-iun-2020;35.967,41;3.594,24;;
29-mai-2020;35.875,71;3.546,92;;
28-mai-2020;36.340,47;3.576,97;;
27-mai-2020;36.346,09;3.606,28;;
26-mai-2020;36.085,77;3.579,89;;
25-mai-2020;35.210,60;3.511,48;;
22-mai-2020;35.050,92;3.482,30;;
21-mai-2020;35.494,52;3.511,62;;
20-mai-2020;35.635,52;3.516,58;;
19-mai-2020;35.452,21;3.504,89;;
18-mai-2020;35.307,51;3.436,23;;
15-mai-2020;34.046,13;3.320,85;;
14-mai-2020;34.144,57;3.242,32;;
13-mai-2020;34.518,75;3.296,53;;
12-mai-2020;35.143,13;3.275,23;;
11-mai-2020;34.908,12;3.292,68;;
08-mai-2020;34.796,13;3.288,23;;
07-mai-2020;34.613,57;3.290,63;;
06-mai-2020;34.557,17;3.290,12;;
05-mai-2020;34.604,44;3.298,36;;
04-mai-2020;34.576,84;3.303,94;;
30-apr-2020;35.180,90;3.305,20;;
29-apr-2020;34.815,09;3.308,20;;
28-apr-2020;33.808,22;3.273,70;;
27-apr-2020;33.196,85;3.321,59;;
24-apr-2020;32.964,67;3.266,09;;
23-apr-2020;32.805,50;3.242,49;;
22-apr-2020;32.328,27;3.232,54;;
21-apr-2020;31.582,31;3.044,98;;
20-apr-2020;32.927,47;3.155,29;;
17-apr-2020;33.173,40;3.211,51;;
16-apr-2020;32.217,99;3.196,49;;
15-apr-2020;32.710,55;3.254,50;;
14-apr-2020;34.468,90;3.354,25;;
09-apr-2020;33.761,87;3.325,05;;
08-apr-2020;32.863,79;3.247,74;;
07-apr-2020;32.715,70;3.291,70;;
06-apr-2020;32.858,75;3.098,15;;
03-apr-2020;32.265,92;2.922,78;;
02-apr-2020;32.591,95;2.876,35;;
01-apr-2020;32.361,34;2.848,00;;
31-mar-2020;33.134,87;2.903,41;;
30-mar-2020;31.985,33;2.753,32;;
27-mar-2020;32.065,14;2.717,19;;
26-mar-2020;32.994,30;2.762,11;;
25-mar-2020;32.690,45;2.740,29;;
24-mar-2020;32.614,56;2.699,96;;
23-mar-2020;30.848,56;2.557,97;;
20-mar-2020;30.959,94;2.582,93;;
19-mar-2020;29.494,19;2.467,75;;
18-mar-2020;29.464,28;2.452,38;;
17-mar-2020;31.525,60;2.553,27;;
16-mar-2020;32.304,48;2.536,43;;
13-mar-2020;34.189,09;2.692,89;;
12-mar-2020;32.317,89;2.662,11;;
11-mar-2020;36.536,24;2.820,53;;
10-mar-2020;38.380,60;3.072,65;;
09-mar-2020;38.075,83;3.144,18;;
06-mar-2020;41.185,29;3.385,85;;
05-mar-2020;42.607,98;3.423,59;;
04-mar-2020;43.327,92;3.483,58;;
03-mar-2020;43.301,39;3.494,23;;
02-mar-2020;41.537,20;3.420,25;;
28-feb-2020;40.229,64;3.399,23;;
27-feb-2020;42.679,40;3.401,25;;
26-feb-2020;43.521,91;3.486,39;;
25-feb-2020;43.075,07;3.467,39;;
24-feb-2020;44.381,32;3.573,46;;
21-feb-2020;45.781,35;3.683,65;;
20-feb-2020;45.792,07;3.703,00;;
19-feb-2020;46.182,09;3.702,77;;
18-feb-2020;45.547,15;3.702,43;;
17-feb-2020;45.338,26;3.710,69;;
14-feb-2020;44.905,98;3.692,86;;
13-feb-2020;44.629,51;3.689,43;;
12-feb-2020;44.482,40;3.665,20;;
11-feb-2020;44.559,95;3.655,70;;
10-feb-2020;44.538,59;3.685,33;;
07-feb-2020;44.486,92;3.599,09;;
06-feb-2020;44.127,99;3.575,41;;
05-feb-2020;44.020,03;3.633,45;;
04-feb-2020;43.864,82;3.644,54;;
03-feb-2020;43.390,81;3.638,69;;
31-ian-2020;43.072,08;3.613,34;;
30-ian-2020;43.501,99;3.607,04;;
29-ian-2020;43.431,30;3.654,49;;
28-ian-2020;43.675,50;3.655,64;;
27-ian-2020;43.929,17;3.679,58;;
24-ian-2020;44.515,97;3.731,11;;
23-ian-2020;44.823,28;3.693,35;;
22-ian-2020;44.597,05;3.692,37;;
21-ian-2020;44.132,00;3.700,92;;
20-ian-2020;44.470,93;3.708,52;;
17-ian-2020;44.422,81;3.754,83;;
16-ian-2020;44.350,39;3.758,11;;
15-ian-2020;44.565,03;3.767,08;;
14-ian-2020;44.960,31;3.765,27;;
13-ian-2020;45.447,52;3.772,26;;
10-ian-2020;45.364,14;3.806,14;;
09-ian-2020;45.493,15;3.782,65;;
08-ian-2020;44.932,18;3.779,28;;
07-ian-2020;44.490,80;3.790,86;;
06-ian-2020;44.658,76;3.781,10;;
03-ian-2020;46.141,22;3.822,20;;
02-ian-2020;46.230,22;3.855,15;;
30-dec-2019;46.082,82;3.851,46;;
23-dec-2019;45.984,46;3.817,57;;
20-dec-2019;45.606,35;3.773,28;;
19-dec-2019;45.944,68;3.792,29;;
18-dec-2019;45.656,80;3.790,67;;
17-dec-2019;45.035,35;3.804,95;;
16-dec-2019;45.603,92;3.795,69;;
13-dec-2019;45.760,15;3.842,56;;
12-dec-2019;45.382,68;3.827,20;;
11-dec-2019;44.603,48;3.777,64;;
10-dec-2019;44.248,52;3.862,54;;
09-dec-2019;44.640,38;3.932,94;;
06-dec-2019;44.207,50;3.908,33;;
05-dec-2019;44.182,07;3.853,70;;
04-dec-2019;44.078,02;3.844,63;;
03-dec-2019;43.048,25;3.889,50;;
02-dec-2019;43.370,30;3.957,61;;
29-nov-2019;43.704,85;3.964,71;;
28-nov-2019;43.799,85;3.999,55;;
27-nov-2019;43.599,69;3.889,77;;
26-nov-2019;43.781,96;3.941,90;;
25-nov-2019;44.314,45;3.958,49;;
22-nov-2019;44.053,95;3.983,90;;
21-nov-2019;43.654,37;3.998,27;;
20-nov-2019;43.938,90;4.010,29;;
19-nov-2019;43.618,78;3.998,21;;
18-nov-2019;43.867,73;3.949,77;;
15-nov-2019;43.384,63;3.979,49;;
14-nov-2019;43.218,28;3.981,41;;
13-nov-2019;43.216,34;3.976,29;;
12-nov-2019;43.492,33;3.951,66;;
11-nov-2019;43.038,67;3.882,90;;
08-nov-2019;43.441,42;3.930,48;;
07-nov-2019;43.598,19;3.962,75;;
06-nov-2019;43.291,61;3.944,59;;
05-nov-2019;43.236,80;3.914,16;;
04-nov-2019;42.817,55;3.900,89;;
31-oct-2019;42.159,58;3.939,21;;
30-oct-2019;42.796,70;3.938,94;;
29-oct-2019;42.453,16;3.905,86;;
28-oct-2019;41.938,54;3.928,61;;
25-oct-2019;42.159,36;3.955,24;;
24-oct-2019;42.475,53;3.928,06;;
22-oct-2019;41.845,95;3.993,55;;
21-oct-2019;41.234,58;3.962,12;;
18-oct-2019;40.826,33;3.939,80;;
17-oct-2019;40.717,17;3.918,13;;
16-oct-2019;40.404,66;3.911,50;;
15-oct-2019;40.578,18;3.983,03;;
14-oct-2019;40.733,70;4.035,46;;
11-oct-2019;40.332,56;4.074,93;;
10-oct-2019;39.466,35;4.007,15;;
09-oct-2019;39.544,62;3.932,59;;
08-oct-2019;39.491,52;4.107,18;;
07-oct-2019;39.803,96;4.182,51;;
04-oct-2019;39.826,51;4.222,54;;
03-oct-2019;39.547,59;4.201,78;;
02-oct-2019;39.416,77;4.201,33;;
01-oct-2019;40.112,38;4.223,06;;
30-sept-2019;40.601,18;4.280,61;;
27-sept-2019;40.890,74;4.322,12;;
26-sept-2019;40.534,28;4.267,35;;
25-sept-2019;40.553,92;4.276,62;;
24-sept-2019;40.848,04;4.296,28;;
23-sept-2019;40.800,21;4.303,70;;
20-sept-2019;41.116,92;4.328,68;;
19-sept-2019;40.922,30;4.368,94;;
18-sept-2019;40.930,24;4.334,35;;
17-sept-2019;40.596,71;4.332,62;;
16-sept-2019;40.819,56;4.333,86;;
13-sept-2019;40.285,21;4.360,76;;
12-sept-2019;40.066,95;4.289,77;;
11-sept-2019;40.202,61;4.261,91;;
10-sept-2019;39.956,96;4.263,62;;
09-sept-2019;40.484,75;4.272,64;;
06-sept-2019;40.312,46;4.251,26;;
05-sept-2019;40.180,90;4.239,44;;
04-sept-2019;39.753,49;4.224,75;;
03-sept-2019;39.405,19;4.213,33;;
02-sept-2019;39.707,43;4.220,80;;
30-aug-2019;39.794,12;4.213,51;;
29-aug-2019;39.264,48;4.192,55;;
28-aug-2019;38.706,56;4.138,25;;
27-aug-2019;39.107,94;4.192,66;;
26-aug-2019;39.661,47;4.221,36;;
23-aug-2019;39.519,58;4.270,53;;
22-aug-2019;39.394,71;4.265,05;;
21-aug-2019;39.648,21;4.266,34;;
16-aug-2019;40.005,90;4.320,18;;
15-aug-2019;40.018,67;4.301,13;;
14-aug-2019;40.137,22;4.306,77;;
13-aug-2019;40.722,36;4.321,35;;
12-aug-2019;40.891,99;4.310,22;;
09-aug-2019;40.615,42;4.326,74;;
08-aug-2019;40.389,38;4.360,23;;
07-aug-2019;40.283,52;4.361,83;;
06-aug-2019;40.037,39;4.371,23;;
05-aug-2019;39.896,31;4.360,47;;
02-aug-2019;40.309,61;4.334,39;;
01-aug-2019;40.474,27;4.333,85;;
31-iul-2019;40.767,60;4.318,97;;
30-iul-2019;40.843,78;4.255,68;;
29-iul-2019;41.006,44;4.276,89;;
26-iul-2019;40.965,48;4.337,04;;
25-iul-2019;41.353,62;4.324,81;;
24-iul-2019;41.303,37;4.349,92;;
23-iul-2019;41.367,22;4.317,74;;
22-iul-2019;41.338,01;4.310,58;;
19-iul-2019;41.707,26;4.374,75;;
18-iul-2019;41.282,46;4.405,04;;
17-iul-2019;40.990,89;4.417,29;;
16-iul-2019;40.878,78;4.442,36;;
15-iul-2019;40.725,40;4.386,26;;
12-iul-2019;40.699,69;4.432,60;;
11-iul-2019;40.739,42;4.396,02;;
10-iul-2019;40.577,79;4.433,63;;
09-iul-2019;40.327,45;4.432,41;;
08-iul-2019;40.777,08;4.484,78;;
05-iul-2019;41.016,65;4.531,41;;
04-iul-2019;40.972,92;4.532,79;;
03-iul-2019;40.985,18;4.508,67;;
02-iul-2019;40.767,12;4.501,40;;
01-iul-2019;40.618,08;4.493,69;;
28-iun-2019;40.279,31;4.485,74;;
27-iun-2019;40.440,51;4.503,29;;
26-iun-2019;40.064,92;4.528,76;;
25-iun-2019;40.061,95;4.489,63;;
24-iun-2019;40.475,09;4.392,76;;
21-iun-2019;40.387,21;4.351,60;;
20-iun-2019;40.774,52;4.416,19;;
19-iun-2019;40.980,24;4.405,29;;
18-iun-2019;40.922,41;4.341,98;;
17-iun-2019;40.764,49;4.325,66;;
14-iun-2019;40.588,18;4.242,24;;
13-iun-2019;40.469,80;4.240,42;;
12-iun-2019;40.592,32;4.182,47;;
11-iun-2019;41.234,66;4.245,81;;
07-iun-2019;41.159,57;4.232,15;;
06-iun-2019;41.000,04;4.213,66;;
05-iun-2019;41.073,62;4.209,23;;
04-iun-2019;41.157,02;4.215,13;;
03-iun-2019;41.114,31;4.218,09;;
31-mai-2019;40.904,12;4.196,66;;
30-mai-2019;41.075,87;4.227,66;;
29-mai-2019;40.916,42;4.233,06;;
28-mai-2019;40.466,85;4.211,34;;
27-mai-2019;40.207,91;4.185,53;;
24-mai-2019;40.022,62;4.221,73;;
23-mai-2019;40.010,72;4.183,19;;
22-mai-2019;40.184,85;4.197,15;;
21-mai-2019;39.575,98;4.199,78;;
20-mai-2019;39.630,71;4.181,67;;
17-mai-2019;39.877,82;4.137,85;;
16-mai-2019;40.288,28;4.179,73;;
15-mai-2019;40.291,35;4.184,39;;
14-mai-2019;40.084,64;4.230,91;;
13-mai-2019;40.537,85;4.249,32;;
10-mai-2019;41.068,21;4.266,53;;
09-mai-2019;41.207,46;4.267,24;;
08-mai-2019;41.350,33;4.299,69;;
07-mai-2019;41.084,57;4.286,74;;
06-mai-2019;41.547,35;4.319,39;;
03-mai-2019;41.775,36;4.344,45;;
02-mai-2019;42.366,82;4.365,66;;
30-apr-2019;42.520,11;4.351,19;;
29-apr-2019;42.469,84;4.362,07;;
26-apr-2019;43.064,40;4.436,21;;
25-apr-2019;43.053,87;4.358,31;;
24-apr-2019;43.563,38;4.432,75;;
23-apr-2019;43.245,43;4.390,10;;
18-apr-2019;42.810,11;4.405,67;;
17-apr-2019;43.004,51;4.406,63;;
16-apr-2019;42.826,30;4.421,30;;
15-apr-2019;42.815,92;4.395,66;;
12-apr-2019;42.940,74;4.390,36;;
11-apr-2019;42.693,52;4.409,90;;
10-apr-2019;42.225,87;4.384,18;;
09-apr-2019;42.063,94;4.355,23;;
08-apr-2019;41.826,90;4.387,40;;
05-apr-2019;41.841,92;4.410,61;;
04-apr-2019;41.870,44;4.363,23;;
03-apr-2019;42.193,97;4.387,36;;
02-apr-2019;42.213,35;4.377,33;;
01-apr-2019;42.057,33;4.404,19;;
29-mar-2019;41.683,78;4.346,22;;
28-mar-2019;41.413,91;4.254,83;;
27-mar-2019;41.316,20;4.253,96;;
26-mar-2019;41.740,97;4.163,57;;
25-mar-2019;41.605,17;4.117,80;;
22-mar-2019;41.931,67;4.179,11;;
21-mar-2019;41.955,75;4.144,95;;
20-mar-2019;41.964,35;4.196,32;;
19-mar-2019;42.014,16;4.285,91;;
18-mar-2019;42.085,01;4.171,26;;
14-mar-2019;41.335,02;4.134,52;;
13-mar-2019;40.887,58;4.066,72;;
12-mar-2019;40.612,50;4.061,72;;
11-mar-2019;40.819,55;4.006,15;;
08-mar-2019;40.288,44;3.989,92;;
07-mar-2019;40.625,30;4.041,18;;
06-mar-2019;41.086,90;4.016,82;;
05-mar-2019;40.718,50;3.977,62;;
04-mar-2019;40.593,48;3.971,48;;
01-mar-2019;40.170,66;3.956,93;;
28-feb-2019;40.333,04;3.942,26;;
27-feb-2019;40.525,28;3.863,05;;
26-feb-2019;40.819,08;3.846,93;;
25-feb-2019;40.987,95;3.828,91;;
22-feb-2019;40.814,60;3.826,77;;
21-feb-2019;40.721,48;3.835,44;;
20-feb-2019;40.582,83;3.837,37;;
19-feb-2019;40.560,44;3.847,23;;
18-feb-2019;40.653,39;3.825,65;;
15-feb-2019;40.179,84;3.808,70;;
14-feb-2019;39.898,65;3.781,40;;
13-feb-2019;40.221,18;3.793,08;;
12-feb-2019;40.488,09;3.841,39;;
11-feb-2019;39.769,48;3.805,06;;
08-feb-2019;39.704,61;3.886,60;;
07-feb-2019;40.173,73;3.894,44;;
06-feb-2019;40.597,26;3.930,11;;
05-feb-2019;40.474,39;3.928,47;;
04-feb-2019;40.856,97;3.908,97;;
01-feb-2019;40.973,34;3.932,27;;
31-ian-2019;40.855,56;3.908,70;;
30-ian-2019;40.862,97;3.912,29;;
29-ian-2019;41.146,00;3.923,45;;
28-ian-2019;41.332,31;3.933,29;;
25-ian-2019;40.944,82;3.945,54;;
24-ian-2019;40.890,94;3.946,38;;
23-ian-2019;40.818,69;3.946,58;;
22-ian-2019;40.963,71;3.961,66;;
21-ian-2019;40.893,71;3.943,79;;
18-ian-2019;41.503,91;3.978,42;;
17-ian-2019;41.180,05;3.948,87;;
16-ian-2019;40.933,04;3.959,98;;
15-ian-2019;40.600,26;3.899,92;;
14-ian-2019;40.667,65;3.910,14;;
11-ian-2019;40.886,06;3.911,46;;
10-ian-2019;40.795,50;3.908,28;;
09-ian-2019;40.784,27;3.910,51;;
08-ian-2019;40.809,82;3.868,96;;
07-ian-2019;40.569,47;3.843,74;;
04-ian-2019;40.145,18;3.858,82;;
03-ian-2019;39.672,60;3.854,77;;
02-ian-2019;39.734,06;3.852,70;;
28-dec-2018;39.138,95;3.772,99;;
27-dec-2018;39.006,52;3.746,17;;
21-dec-2018;39.578,63;3.729,39;;
20-dec-2018;39.592,68;3.737,59;;
19-dec-2018;39.966,19;3.712,39;;
18-dec-2018;39.475,61;3.707,86;;
17-dec-2018;39.675,76;3.771,58;;
14-dec-2018;40.125,72;3.801,98;;
13-dec-2018;40.041,71;3.813,09;;
12-dec-2018;39.887,22;3.806,11;;
11-dec-2018;39.860,23;3.801,52;;
10-dec-2018;39.238,44;3.819,07;;
07-dec-2018;39.384,56;3.830,51;;
06-dec-2018;39.747,13;3.797,91;;
05-dec-2018;40.670,44;3.838,94;;
04-dec-2018;40.945,47;3.930,05;;
03-dec-2018;40.579,82;3.970,46;;
30-nov-2018;40.109,37;3.987,24;;
29-nov-2018;39.861,63;3.962,14;;
28-nov-2018;39.656,25;3.909,19;;
27-nov-2018;39.601,70;3.888,88;;
26-nov-2018;39.598,29;3.934,19;;
23-nov-2018;39.379,78;3.848,66;;
22-nov-2018;39.489,38;3.852,31;;
21-nov-2018;39.431,33;3.808,21;;
20-nov-2018;39.058,30;3.856,22;;
19-nov-2018;39.323,01;3.894,03;;
16-nov-2018;39.328,39;3.837,76;;
15-nov-2018;39.070,97;3.682,12;;
14-nov-2018;39.115,56;3.707,37;;
13-nov-2018;38.252,65;3.699,65;;
12-nov-2018;38.108,46;3.681,17;;
09-nov-2018;38.586,63;3.698,78;;
08-nov-2018;38.713,45;3.692,50;;
07-nov-2018;38.198,00;3.699,47;;
06-nov-2018;37.666,00;3.673,18;;
05-nov-2018;37.794,87;3.650,79;;
31-oct-2018;37.155,21;3.670,98;;
30-oct-2018;36.444,72;3.645,78;;
29-oct-2018;36.110,12;3.652,82;;
26-oct-2018;35.937,61;3.619,70;;
25-oct-2018;36.617,54;3.632,71;;
24-oct-2018;36.452,74;3.583,89;;
19-oct-2018;37.185,93;3.654,10;;
18-oct-2018;37.485,01;3.744,97;;
17-oct-2018;37.399,11;3.723,18;;
16-oct-2018;37.445,67;3.592,86;;
15-oct-2018;36.564,15;3.561,30;;
12-oct-2018;36.347,89;3.614,02;;
11-oct-2018;35.904,54;3.600,94;;
10-oct-2018;36.821,12;3.662,75;;
09-oct-2018;37.109,24;3.717,36;;
08-oct-2018;36.768,02;3.709,52;;
05-oct-2018;36.945,25;3.673,84;;
04-oct-2018;37.146,73;3.636,71;;
03-oct-2018;37.212,94;3.588,54;;
02-oct-2018;36.876,75;3.562,11;;
01-oct-2018;36.883,49;3.545,22;;
28-sept-2018;37.171,41;3.639,96;;
27-sept-2018;36.471,35;3.620,05;;
26-sept-2018;35.996,04;3.640,70;;
25-sept-2018;35.868,88;3.642,36;;
24-sept-2018;35.786,54;3.603,62;;
21-sept-2018;35.783,48;3.581,57;;
20-sept-2018;36.134,33;3.564,33;;
19-sept-2018;36.386,40;3.581,79;;
18-sept-2018;36.110,89;3.559,42;;
17-sept-2018;35.819,90;3.607,52;;
