;SOFIX;BG REIT
31-mar-2020;419,35;125,07
30-mar-2020;420,07;125,60
27-mar-2020;421,68;125,15
26-mar-2020;423,07;125,23
25-mar-2020;426,13;126,27
24-mar-2020;418,88;125,99
23-mar-2020;406,9;124,30
20-mar-2020;413,03;125,41
19-mar-2020;405,8;126,26
18-mar-2020;416,39;126,80
17-mar-2020;422,4;127,38
16-mar-2020;423,96;125,71
13-mar-2020;447,95;129,50
12-mar-2020;457,61;128,90
11-mar-2020;495,12;130,83
10-mar-2020;494,81;131,50
09-mar-2020;475,63;133,25
06-mar-2020;529,93;136,17
05-mar-2020;536,4;136,25
04-mar-2020;543,21;136,25
02-mar-2020;546,75;136,63
28-feb-2020;550,25;136,39
27-feb-2020;548,71;134,79
26-feb-2020;546,39;134,22
25-feb-2020;545,01;133,79
24-feb-2020;550,44;133,42
21-feb-2020;552,24;134,37
20-feb-2020;548,03;133,66
19-feb-2020;548,91;133,50
18-feb-2020;550,97;133,14
17-feb-2020;560,47;134,14
14-feb-2020;558,7;133,59
13-feb-2020;563,46;133,87
12-feb-2020;568,67;133,94
11-feb-2020;570,67;133,42
10-feb-2020;570,42;134,20
07-feb-2020;569,62;134,19
06-feb-2020;570,05;134,36
05-feb-2020;570,36;134,40
04-feb-2020;575,15;134,40
03-feb-2020;573,96;134,07
31-ian-2020;575,87;133,73
30-ian-2020;574,27;134,03
29-ian-2020;576,51;134,85
28-ian-2020;578,05;134,62
27-ian-2020;579,49;134,14
24-ian-2020;582,81;135,10
23-ian-2020;583,41;134,52
22-ian-2020;584,9;135,10
21-ian-2020;585,28;134,83
20-ian-2020;585,73;134,54
17-ian-2020;580,1;134,45
16-ian-2020;581,81;133,78
15-ian-2020;581,34;133,50
14-ian-2020;580,1;132,94
13-ian-2020;578,16;133,47
10-ian-2020;579,24;132,94
09-ian-2020;577,72;132,56
08-ian-2020;575,75;132,37
07-ian-2020;566,17;131,27
06-ian-2020;570,65;131,20
03-ian-2020;568,6;131,20
02-ian-2020;568,25;131,08
30-dec-2019;568,14;130,03
27-dec-2019;561,73;130,32
23-dec-2019;562,96;130,51
20-dec-2019;548,24;130,44
19-dec-2019;555,23;130,32
18-dec-2019;548,04;129,53
17-dec-2019;541,34;129,19
16-dec-2019;545,85;130,13
13-dec-2019;543,92;130,26
12-dec-2019;543,5;130,14
11-dec-2019;542,96;130,14
10-dec-2019;546,07;130,73
09-dec-2019;547,84;130,85
06-dec-2019;546,61;130,77
05-dec-2019;544,03;130,82
04-dec-2019;543,56;130,79
03-dec-2019;544,24;128,78
02-dec-2019;547,82;129,54
29-nov-2019;546,57;128,71
28-nov-2019;543,36;128,83
27-nov-2019;543,98;128,48
26-nov-2019;545,79;128,22
25-nov-2019;548,62;128,56
22-nov-2019;551,22;129,06
21-nov-2019;550;129,06
20-nov-2019;550,98;129,50
19-nov-2019;554,4;129,68
18-nov-2019;555,77;130,47
15-nov-2019;553,88;129,88
14-nov-2019;558,8;129,56
13-nov-2019;558,73;129,84
12-nov-2019;558,24;130,04
11-nov-2019;557,77;129,17
08-nov-2019;560,59;129,31
07-nov-2019;558,87;129,31
06-nov-2019;557,83;129,38
05-nov-2019;553,06;129,25
04-nov-2019;554,9;129,09
01-nov-2019;554,64;129,66
31-oct-2019;556,84;130,42
30-oct-2019;555,86;126,55
29-oct-2019;556,28;127,67
28-oct-2019;560,16;127,61
25-oct-2019;561,41;127,98
24-oct-2019;561;127,66
23-oct-2019;559,56;127,98
22-oct-2019;564,22;127,77
21-oct-2019;565,19;127,79
18-oct-2019;564,83;127,84
17-oct-2019;563,67;127,90
16-oct-2019;560,07;127,65
15-oct-2019;561,47;127,97
14-oct-2019;561,77;127,67
11-oct-2019;562,11;127,87
10-oct-2019;557,44;127,55
09-oct-2019;559,26;127,29
08-oct-2019;561,05;127,42
07-oct-2019;563,12;127,17
04-oct-2019;563,02;127,11
03-oct-2019;565,9;126,98
02-oct-2019;568,53;127,83
01-oct-2019;569,32;128,08
30-sept-2019;570,58;128,08
27-sept-2019;574,6;127,75
26-sept-2019;573,68;126,74
25-sept-2019;573,64;126,55
24-sept-2019;572,2;126,74
20-sept-2019;572,86;126,61
19-sept-2019;578,99;126,94
18-sept-2019;580,65;126,61
17-sept-2019;578,97;126,35
16-sept-2019;580,02;126,61
13-sept-2019;578,65;126,77
12-sept-2019;578,01;126,77
11-sept-2019;578,22;126,64
10-sept-2019;576,29;126,64
09-sept-2019;573,7;126,77
05-sept-2019;574,17;126,77
04-sept-2019;573,23;126,64
03-sept-2019;571,8;126,77
02-sept-2019;569,92;126,51
30-aug-2019;567,45;126,38
29-aug-2019;570,53;127,16
28-aug-2019;566,45;126,70
27-aug-2019;572,87;126,96
26-aug-2019;574,66;127,22
23-aug-2019;576,43;127,16
22-aug-2019;574,7;127,22
21-aug-2019;579,56;127,22
20-aug-2019;575,65;126,63
19-aug-2019;575,28;126,50
16-aug-2019;575,1;126,50
15-aug-2019;578,64;126,63
14-aug-2019;582,55;126,63
13-aug-2019;582,16;126,70
12-aug-2019;581,9;126,80
09-aug-2019;583,63;126,42
08-aug-2019;583,82;126,61
07-aug-2019;579,12;126,65
06-aug-2019;579,95;126,91
05-aug-2019;581,39;127,17
02-aug-2019;580,08;126,85
01-aug-2019;581,48;126,59
31-iul-2019;580,68;126,85
30-iul-2019;581,48;126,98
29-iul-2019;583,5;126,91
26-iul-2019;584,03;126,53
25-iul-2019;580,6;126,47
24-iul-2019;580,99;126,66
23-iul-2019;579,15;126,79
22-iul-2019;579,47;126,40
19-iul-2019;582,56;126,53
18-iul-2019;577;126,40
17-iul-2019;577,28;126,66
16-iul-2019;578,55;126,79
15-iul-2019;579,84;126,86
12-iul-2019;583,78;127,04
11-iul-2019;583,45;126,91
10-iul-2019;580,64;127,22
09-iul-2019;578,63;126,97
08-iul-2019;582,98;127,27
05-iul-2019;580,7;126,83
04-iul-2019;582,29;126,60
03-iul-2019;581,48;126,28
02-iul-2019;581,74;126,28
01-iul-2019;582,79;126,15
28-iun-2019;587,81;125,83
27-iun-2019;581,94;123,85
26-iun-2019;577,64;123,59
25-iun-2019;575,34;123,34
24-iun-2019;580,11;123,75
21-iun-2019;578,86;123,50
20-iun-2019;577,7;123,05
19-iun-2019;579,98;124,01
18-iun-2019;578,05;123,16
17-iun-2019;577,21;123,16
14-iun-2019;578;122,90
13-iun-2019;578,71;123,47
12-iun-2019;578,63;123,47
11-iun-2019;580,34;123,41
10-iun-2019;581,37;123,12
07-iun-2019;576,48;122,49
06-iun-2019;579,9;122,73
05-iun-2019;577,63;122,49
04-iun-2019;580,11;122,23
03-iun-2019;580,39;121,60
31-mai-2019;582,48;121,54
30-mai-2019;582,14;121,28
29-mai-2019;572,56;121,16
28-mai-2019;571,8;121,34
27-mai-2019;572,37;121,34
23-mai-2019;573,51;121,41
22-mai-2019;572,95;120,78
21-mai-2019;568,83;121,09
20-mai-2019;569,37;120,71
17-mai-2019;568,87;121,79
16-mai-2019;569,12;120,79
15-mai-2019;566,36;120,21
14-mai-2019;563,42;119,59
13-mai-2019;567,25;120,15
10-mai-2019;571,54;120,15
09-mai-2019;568,88;119,71
08-mai-2019;566,97;120,15
07-mai-2019;567,7;119,90
03-mai-2019;571,3;120,51
02-mai-2019;572,12;120,70
30-apr-2019;575,06;120,76
25-apr-2019;573,77;120,29
24-apr-2019;569,65;120,03
23-apr-2019;570,6;120,22
18-apr-2019;575,29;120,76
17-apr-2019;575,51;120,76
16-apr-2019;575,65;120,82
15-apr-2019;575,43;120,82
12-apr-2019;575,13;120,76
11-apr-2019;579,03;120,76
10-apr-2019;583,32;121,26
09-apr-2019;576,58;117,46
08-apr-2019;583,3;118,09
05-apr-2019;580,19;118,09
04-apr-2019;581,07;120,26
03-apr-2019;581,9;120,51
02-apr-2019;579,75;120,82
01-apr-2019;580,9;120,38
29-mar-2019;583,87;120,64
28-mar-2019;574,39;120,20
27-mar-2019;578,77;120,14
26-mar-2019;578,37;120,14
25-mar-2019;582,8;120,14
22-mar-2019;582,34;120,27
21-mar-2019;585,98;120,14
20-mar-2019;588,88;120,12
19-mar-2019;600,4;120,30
18-mar-2019;586,02;120,24
15-mar-2019;583,8;120,39
14-mar-2019;579,5;120,39
13-mar-2019;578,77;120,39
12-mar-2019;578,46;120,51
11-mar-2019;583,73;121,07
08-mar-2019;582,51;121,26
07-mar-2019;584,09;120,89
06-mar-2019;583;120,71
05-mar-2019;582,98;120,53
01-mar-2019;585,06;120,71
28-feb-2019;585,37;120,89
27-feb-2019;588,41;120,72
26-feb-2019;591,07;120,84
25-feb-2019;593,05;121,15
22-feb-2019;582,49;120,90
21-feb-2019;577,94;120,65
20-feb-2019;576,5;121,15
19-feb-2019;578,1;121,21
18-feb-2019;578,33;121,08
15-feb-2019;577,24;120,90
14-feb-2019;580,93;121,02
13-feb-2019;573,94;120,83
12-feb-2019;573,32;120,78
11-feb-2019;573,4;120,71
08-feb-2019;575,17;120,64
07-feb-2019;570,97;120,34
06-feb-2019;574,25;120,58
05-feb-2019;579,06;120,40
04-feb-2019;578,4;120,52
01-feb-2019;583,98;120,65
31-ian-2019;585,76;120,77
30-ian-2019;575,27;120,35
29-ian-2019;573,66;120,34
28-ian-2019;573,51;120,51
25-ian-2019;573,33;120,51
24-ian-2019;573,57;120,21
23-ian-2019;562,86;120,45
22-ian-2019;567,11;119,96
21-ian-2019;567,51;120,33
18-ian-2019;567,05;120,21
17-ian-2019;566,77;119,96
16-ian-2019;563,49;119,84
15-ian-2019;565,56;119,96
14-ian-2019;568,05;120,33
11-ian-2019;567,46;120,46
10-ian-2019;571,18;120,33
09-ian-2019;572,13;120,76
08-ian-2019;577,33;120,95
07-ian-2019;577,15;120,95
04-ian-2019;579,83;120,83
03-ian-2019;585,33;120,94
02-ian-2019;586,12;121,07
28-dec-2018;594,46;121,07
27-dec-2018;589,09;119,50
21-dec-2018;594,85;119,50
20-dec-2018;588,81;118,29
19-dec-2018;589,65;118,34
18-dec-2018;592,12;118,40
17-dec-2018;591,24;119,34
14-dec-2018;589,6;118,03
13-dec-2018;590,47;118,03
12-dec-2018;593,06;117,85
11-dec-2018;593,21;117,91
10-dec-2018;593,16;117,68
07-dec-2018;595,32;117,80
06-dec-2018;592,45;117,80
05-dec-2018;597,25;117,47
04-dec-2018;601,34;117,58
03-dec-2018;599,1;117,69
30-nov-2018;592,12;117,46
29-nov-2018;591,74;116,89
28-nov-2018;584,72;116,60
27-nov-2018;583,19;116,48
26-nov-2018;584,9;117,17
23-nov-2018;588,93;117,35
22-nov-2018;587,87;117,35
21-nov-2018;589,47;117,11
20-nov-2018;586,98;116,75
19-nov-2018;592,68;117,17
16-nov-2018;595,31;117,23
15-nov-2018;595,74;117,35
14-nov-2018;594,78;116,99
13-nov-2018;593,86;117,05
12-nov-2018;596,08;117,23
09-nov-2018;597,76;117,47
08-nov-2018;595;117,47
07-nov-2018;592,62;117,47
06-nov-2018;594,29;117,23
05-nov-2018;596,67;117,11
02-nov-2018;596,8;116,99
01-nov-2018;596,58;117,18
31-oct-2018;596,81;117,23
30-oct-2018;597,44;117,03
29-oct-2018;602,38;117,26
26-oct-2018;599,65;116,45
25-oct-2018;598,78;116,39
24-oct-2018;600,14;116,45
23-oct-2018;597,06;116,45
22-oct-2018;606,95;117,03
19-oct-2018;608,18;117,15
18-oct-2018;608,16;116,80
17-oct-2018;610,26;117,16
16-oct-2018;609,51;117,36
15-oct-2018;610,75;116,94
12-oct-2018;610,4;117,18
11-oct-2018;609,09;117,30
10-oct-2018;617,42;117,88
09-oct-2018;617,13;117,65
08-oct-2018;618,55;117,65
05-oct-2018;623,41;117,61
04-oct-2018;622,52;117,72
03-oct-2018;622,17;117,26
02-oct-2018;628,49;117,90
01-oct-2018;625,74;118,15
28-sept-2018;624,39;117,79
27-sept-2018;623,63;117,16
26-sept-2018;623,1;117,27
25-sept-2018;623,52;117,39
24-sept-2018;623,48;117,04
21-sept-2018;623,48;117,04
20-sept-2018;627,08;117,04
19-sept-2018;627,6;117,15
18-sept-2018;629,86;117,37
17-sept-2018;627,84;116,66
14-sept-2018;629,37;116,88
13-sept-2018;630,02;117,13
12-sept-2018;631,44;117,13
11-sept-2018;632,02;117,06
10-sept-2018;628,8;117,08
07-sept-2018;626,99;117,19
05-sept-2018;628,11;116,86
04-sept-2018;632,77;117,20
03-sept-2018;630,07;117,08
31-aug-2018;631,83;117,08
30-aug-2018;633,96;116,88
29-aug-2018;630,41;116,77
28-aug-2018;630,52;116,78
27-aug-2018;634,77;116,83
24-aug-2018;636,32;116,47
23-aug-2018;634,33;116,50
22-aug-2018;629,47;116,03
21-aug-2018;634,05;116,47
20-aug-2018;634,14;116,72
17-aug-2018;633,62;116,47
16-aug-2018;633,62;115,87
15-aug-2018;631,17;115,63
14-aug-2018;632,5;115,51
13-aug-2018;635,11;115,51
10-aug-2018;639,34;115,63
09-aug-2018;641,76;115,74
08-aug-2018;640,46;115,96
07-aug-2018;640,21;115,96
06-aug-2018;639,4;115,96
03-aug-2018;640,21;116,08
02-aug-2018;639,31;115,96
01-aug-2018;634,68;115,85
31-iul-2018;634,03;115,86
30-iul-2018;627,71;115,86
27-iul-2018;632,31;116,44
26-iul-2018;635,43;116,44
25-iul-2018;636,02;116,44
24-iul-2018;637,18;116,44
23-iul-2018;633,41;115,97
20-iul-2018;632,01;116,54
19-iul-2018;630,55;116,54
18-iul-2018;628,47;116,36
17-iul-2018;624,47;116,49
16-iul-2018;623,85;116,17
13-iul-2018;627,07;116,17
12-iul-2018;627,5;116,06
11-iul-2018;624,94;115,65
10-iul-2018;629,05;115,97
09-iul-2018;628,36;115,99
06-iul-2018;633,69;116,11
05-iul-2018;629,51;115,86
04-iul-2018;630,37;116,21
03-iul-2018;626,53;116,40
02-iul-2018;626,8;115,88
29-iun-2018;634,26;116,21
28-iun-2018;633,13;115,48
27-iun-2018;633,54;115,16
26-iun-2018;631,87;114,87
25-iun-2018;632,4;115,40
22-iun-2018;630,81;115,16
21-iun-2018;631,43;114,65
20-iun-2018;632,27;114,53
19-iun-2018;630,96;114,29
18-iun-2018;630,77;114,16
15-iun-2018;627,9;114,51
14-iun-2018;637,33;114,51
13-iun-2018;634,71;114,51
12-iun-2018;632,33;114,63
11-iun-2018;629,59;114,74
08-iun-2018;631,83;114,74
07-iun-2018;631,71;115,25
06-iun-2018;634,18;115,48
05-iun-2018;633,77;115,59
04-iun-2018;638,33;115,25
01-iun-2018;637,89;115,37
31-mai-2018;636,55;115,47
30-mai-2018;634,25;115,75
29-mai-2018;637,11;115,15
28-mai-2018;639,3;115,49
25-mai-2018;642,09;114,77
23-mai-2018;642,9;114,88
22-mai-2018;644,44;114,77
21-mai-2018;646,24;115,44
18-mai-2018;647,84;115,44
17-mai-2018;649,98;115,11
16-mai-2018;642,57;114,88
15-mai-2018;643,17;115,21
14-mai-2018;644,24;114,87
11-mai-2018;645,51;115,40
10-mai-2018;649,29;115,53
09-mai-2018;652,18;115,40
08-mai-2018;653,01;115,19
04-mai-2018;652,88;114,73
03-mai-2018;658,81;115,41
02-mai-2018;654,28;115,63
30-apr-2018;658,11;115,52
27-apr-2018;658,2;115,53
26-apr-2018;660,38;115,80
25-apr-2018;663,11;115,68
24-apr-2018;659,1;115,52
23-apr-2018;659,1;115,75
20-apr-2018;658,44;114,99
19-apr-2018;662,79;115,80
18-apr-2018;660,45;114,99
17-apr-2018;661,25;115,19
16-apr-2018;662,99;115,21
13-apr-2018;663,22;114,26
12-apr-2018;661,06;114,83
11-apr-2018;660,64;115,15
10-apr-2018;664,75;115,49
05-apr-2018;659,03;116,06
04-apr-2018;654,44;114,92
03-apr-2018;653,14;115,02
29-mar-2018;649,17;114,93
28-mar-2018;654,09;115,38
27-mar-2018;655,25;115,61
26-mar-2018;653,82;115,80
23-mar-2018;661,77;115,92
22-mar-2018;667,67;116,70
21-mar-2018;669,62;116,37
20-mar-2018;660,72;116,00
19-mar-2018;671,8;116,41
16-mar-2018;679,98;116,69
15-mar-2018;679,21;116,69
14-mar-2018;679,68;116,69
13-mar-2018;679,82;116,32
12-mar-2018;681,36;116,73
09-mar-2018;685,86;116,32
08-mar-2018;682,94;116,21
07-mar-2018;687,42;116,52
06-mar-2018;681,67;115,90
05-mar-2018;683,12;115,69
02-mar-2018;683,12;115,69
01-mar-2018;684,74;116,00
28-feb-2018;686,43;116,52
27-feb-2018;687,57;116,36
26-feb-2018;686,16;114,90
23-feb-2018;687,26;114,65
22-feb-2018;687,83;114,86
21-feb-2018;691,71;115,59
20-feb-2018;694,36;114,98
19-feb-2018;692,02;115,71
16-feb-2018;696,4;115,60
15-feb-2018;693,64;115,09
14-feb-2018;697,24;115,20
13-feb-2018;698,05;114,97
12-feb-2018;696,71;114,02
09-feb-2018;693,87;114,19
08-feb-2018;698,71;114,40
07-feb-2018;701,4;114,50
06-feb-2018;690,59;114,50
05-feb-2018;716,12;115,23
02-feb-2018;719,71;115,20
01-feb-2018;711,82;114,58
31-ian-2018;712,73;115,41
30-ian-2018;710,8;116,09
29-ian-2018;709,45;116,20
26-ian-2018;709,62;116,09
25-ian-2018;708,17;116,09
24-ian-2018;706,89;116,20
23-ian-2018;709,28;116,20
22-ian-2018;708,02;116,72
19-ian-2018;711,69;116,95
18-ian-2018;711,2;116,95
17-ian-2018;709,86;116,95
16-ian-2018;715,4;117,16
15-ian-2018;714,31;117,01
12-ian-2018;710,02;116,36
11-ian-2018;702,78;117,19
10-ian-2018;697,93;116,88
09-ian-2018;688,11;116,67
08-ian-2018;688,88;116,67
05-ian-2018;692,24;116,57
04-ian-2018;691,01;116,69
03-ian-2018;685,09;116,27
02-ian-2018;684,71;116,48
29-dec-2017;677,45;116,10
28-dec-2017;675,57;114,96
22-dec-2017;671,84;114,50
21-dec-2017;665,76;114,26
20-dec-2017;663,79;114,32
19-dec-2017;662,8;114,47
18-dec-2017;662,19;114,64
15-dec-2017;664,67;114,49
14-dec-2017;663,57;114,37
13-dec-2017;666,74;114,65
12-dec-2017;666,99;114,76
11-dec-2017;665,47;114,52
08-dec-2017;665,29;114,17
07-dec-2017;665,37;114,30
06-dec-2017;666,31;113,99
05-dec-2017;668,19;113,98
04-dec-2017;669,53;114,10
01-dec-2017;667,02;114,07
30-nov-2017;665,03;113,99
29-nov-2017;667,27;113,76
28-nov-2017;667,39;113,72
27-nov-2017;666,01;113,68
24-nov-2017;667,37;113,62
23-nov-2017;667,91;113,56
22-nov-2017;669,38;113,86
21-nov-2017;669,97;113,80
20-nov-2017;669,14;113,82
17-nov-2017;668,87;113,62
16-nov-2017;668,91;114,05
15-nov-2017;669,04;114,80
14-nov-2017;670,66;115,11
13-nov-2017;669,22;114,49
10-nov-2017;671,78;114,78
09-nov-2017;671,73;115,15
08-nov-2017;672,49;115,10
07-nov-2017;674,34;115,11
06-nov-2017;672,79;115,33
03-nov-2017;675,28;115,45
02-nov-2017;670,13;115,39
01-nov-2017;670,9;115,57
31-oct-2017;671,41;115,88
30-oct-2017;669,99;113,50
27-oct-2017;665,73;113,69
26-oct-2017;655,9;113,64
25-oct-2017;654,37;113,29
24-oct-2017;652,55;113,59
23-oct-2017;667,48;114,49
20-oct-2017;667,82;114,35
19-oct-2017;668,18;114,30
18-oct-2017;670,55;114,77
17-oct-2017;671,11;114,98
16-oct-2017;670,28;115,13
13-oct-2017;669,17;114,99
12-oct-2017;668,31;115,23
11-oct-2017;672,8;115,33
10-oct-2017;676,26;115,66
09-oct-2017;679,41;115,66
06-oct-2017;679,5;115,85
05-oct-2017;672,93;114,60
04-oct-2017;677,35;114,63
03-oct-2017;680,67;114,85
02-oct-2017;687,75;115,34
29-sept-2017;688,11;114,88
28-sept-2017;689,37;115,38
27-sept-2017;684,12;115,39
26-sept-2017;683,35;114,38
25-sept-2017;680,87;114,52
21-sept-2017;678,65;114,34
20-sept-2017;677,65;114,06
19-sept-2017;670,33;113,79
18-sept-2017;669,32;114,31
15-sept-2017;680,83;114,63
14-sept-2017;683,53;114,87
13-sept-2017;689,74;115,19
12-sept-2017;694,58;115,66
11-sept-2017;700,46;115,56
08-sept-2017;705,51;115,71
07-sept-2017;705,87;115,60
05-sept-2017;705,93;116,45
04-sept-2017;705,7;116,16
01-sept-2017;710,31;115,45
31-aug-2017;705,44;115,33
30-aug-2017;706,54;116,26
29-aug-2017;711,13;116,32
28-aug-2017;713,94;117,30
25-aug-2017;714,03;117,35
24-aug-2017;718,44;117,23
23-aug-2017;723,02;117,22
22-aug-2017;719,67;117,67
21-aug-2017;720,71;117,27
18-aug-2017;722,69;117,38
17-aug-2017;729,19;117,69
16-aug-2017;730,9;117,51
15-aug-2017;729,28;117,05
14-aug-2017;727,61;117,97
11-aug-2017;725,48;118,15
10-aug-2017;729,22;118,52
09-aug-2017;727,06;117,66
08-aug-2017;725,79;117,24
07-aug-2017;724,21;117,12
04-aug-2017;720,06;115,99
03-aug-2017;720,14;116,44
02-aug-2017;715,14;114,21
01-aug-2017;713,3;115,12
31-iul-2017;715,21;115,01
28-iul-2017;710,98;115,33
27-iul-2017;711,64;114,49
26-iul-2017;714,59;114,39
25-iul-2017;711,77;114,24
24-iul-2017;712,83;114,30
21-iul-2017;711,93;114,18
20-iul-2017;712,97;114,25
19-iul-2017;710,78;113,97
18-iul-2017;707,1;114,96
17-iul-2017;710,93;115,22
14-iul-2017;713,1;114,21
13-iul-2017;709,48;113,72
12-iul-2017;711,17;113,76
11-iul-2017;708,77;113,89
10-iul-2017;709,26;113,90
07-iul-2017;707,96;114,01
06-iul-2017;711,12;114,17
05-iul-2017;711,42;114,16
04-iul-2017;711,44;114,13
03-iul-2017;705,16;113,15
30-iun-2017;703,46;113,78
29-iun-2017;702,49;113,71
28-iun-2017;702,21;112,31
27-iun-2017;697,12;111,62
26-iun-2017;691,48;111,66
23-iun-2017;687,67;110,93
22-iun-2017;683,59;111,19
21-iun-2017;686,25;111,67
20-iun-2017;687,32;111,13
19-iun-2017;685,96;110,76
16-iun-2017;685,12;110,80
15-iun-2017;683,66;111,33
14-iun-2017;681,81;111,40
13-iun-2017;681,05;111,46
12-iun-2017;681,39;111,21
09-iun-2017;675,83;111,35
08-iun-2017;677,39;109,75
07-iun-2017;681,1;110,15
06-iun-2017;675,82;110,14
05-iun-2017;673,8;110,55
02-iun-2017;670,48;110,42
01-iun-2017;664,08;110,61
31-mai-2017;661,23;111,12
30-mai-2017;659,35;110,91
29-mai-2017;655,51;110,92
26-mai-2017;659,5;110,83
25-mai-2017;658,5;110,97
23-mai-2017;660,74;110,86
22-mai-2017;655;110,46
19-mai-2017;658,8;110,93
18-mai-2017;659,51;110,66
17-mai-2017;661,97;110,04
16-mai-2017;660,87;110,24
15-mai-2017;655,77;110,14
12-mai-2017;654,97;110,36
11-mai-2017;654,25;109,89
10-mai-2017;658,06;109,90
09-mai-2017;659,89;109,98
05-mai-2017;660,81;109,66
04-mai-2017;663,54;109,66
03-mai-2017;664,71;109,23
02-mai-2017;660,53;108,43
28-apr-2017;657,29;108,39
27-apr-2017;649,47;108,09
26-apr-2017;650,75;108,03
25-apr-2017;653,76;108,72
24-apr-2017;657,93;108,75
21-apr-2017;657,97;108,83
20-apr-2017;653,62;109,01
19-apr-2017;658,61;109,27
18-apr-2017;652,89;109,12
13-apr-2017;657,79;108,99
12-apr-2017;656,59;109,11
11-apr-2017;656,45;108,96
10-apr-2017;654,24;108,89
07-apr-2017;658,23;108,84
06-apr-2017;643,93;108,76
05-apr-2017;641,77;108,96
04-apr-2017;636,03;108,73
03-apr-2017;633,13;108,69
31-mar-2017;633,99;108,59
30-mar-2017;633,04;108,78
29-mar-2017;633,34;108,35
28-mar-2017;636,29;108,76
27-mar-2017;638,34;108,82
24-mar-2017;639,63;108,11
23-mar-2017;639,35;108,12
22-mar-2017;639,72;108,19
21-mar-2017;639,32;108,18
20-mar-2017;636,59;108,31
17-mar-2017;634,98;108,56
16-mar-2017;624,31;108,31
15-mar-2017;623,28;108,38
14-mar-2017;619,37;108,40
13-mar-2017;619,46;108,63
10-mar-2017;624,91;108,54
09-mar-2017;621,08;108,57
08-mar-2017;622,47;108,61
07-mar-2017;621,96;107,85
06-mar-2017;615,12;107,86
02-mar-2017;613,07;107,68
01-mar-2017;612,21;107,68
28-feb-2017;611,12;107,83
27-feb-2017;612,48;107,54
24-feb-2017;607,38;107,47
23-feb-2017;606,57;107,72
22-feb-2017;610,35;108,32
21-feb-2017;610,51;108,20
20-feb-2017;608,28;108,31
17-feb-2017;597,01;107,87
16-feb-2017;594,18;107,60
15-feb-2017;593,56;106,80
14-feb-2017;600,74;107,52
13-feb-2017;606,14;107,55
10-feb-2017;604,47;107,55
09-feb-2017;603,14;107,90
08-feb-2017;603,65;107,62
07-feb-2017;604,2;107,44
06-feb-2017;606,45;107,63
03-feb-2017;603,62;107,36
02-feb-2017;598;107,45
01-feb-2017;593,8;107,35
31-ian-2017;602,28;107,34
30-ian-2017;609,65;107,44
27-ian-2017;610,1;107,61
26-ian-2017;611,6;107,59
25-ian-2017;611,33;107,66
24-ian-2017;605,32;107,68
23-ian-2017;605,22;107,58
20-ian-2017;605,2;107,84
19-ian-2017;605,09;108,22
18-ian-2017;606,42;107,81
17-ian-2017;606,46;107,56
16-ian-2017;607,36;107,72
13-ian-2017;602,14;107,49
12-ian-2017;607,33;107,90
11-ian-2017;610,99;107,32
10-ian-2017;609,06;107,07
09-ian-2017;595,74;107,11
06-ian-2017;592;107,28
05-ian-2017;589,61;106,99
04-ian-2017;588,99;107,70
03-ian-2017;587,1;106,93
30-dec-2016;586,43;108,11
29-dec-2016;586,51;106,36
28-dec-2016;585,56;106,38
27-dec-2016;583,31;105,92
23-dec-2016;580,31;106,43
22-dec-2016;576,44;105,70
21-dec-2016;574,92;105,41
20-dec-2016;573,46;105,10
19-dec-2016;575,45;105,06
16-dec-2016;578,45;104,86
15-dec-2016;577,9;104,78
14-dec-2016;582,97;104,88
13-dec-2016;580,85;105,18
12-dec-2016;582,7;105,45
09-dec-2016;581,48;105,25
08-dec-2016;579,97;104,70
07-dec-2016;577,02;105,17
06-dec-2016;567,64;104,19
05-dec-2016;561,37;103,88
02-dec-2016;563,82;103,62
01-dec-2016;563,41;103,56
30-nov-2016;562,82;103,48
29-nov-2016;559,94;104,15
28-nov-2016;556,33;103,96
25-nov-2016;555,32;104,02
24-nov-2016;552,33;104,03
23-nov-2016;546,75;104,43
22-nov-2016;545,95;104,16
21-nov-2016;539,61;104,32
18-nov-2016;530,91;104,11
17-nov-2016;533,51;103,47
16-nov-2016;534,48;103,27
15-nov-2016;538,51;103,61
14-nov-2016;534,62;103,27
11-nov-2016;539,13;103,75
10-nov-2016;541,45;104,83
09-nov-2016;532,67;103,93
08-nov-2016;558,16;105,26
07-nov-2016;551,27;105,87
04-nov-2016;530,21;104,20
03-nov-2016;526,37;103,98
02-nov-2016;533,51;104,27
01-nov-2016;537,03;104,61
31-oct-2016;531,82;104,61
28-oct-2016;526,28;104,20
27-oct-2016;517,52;103,87
26-oct-2016;518,04;103,61
25-oct-2016;517,58;103,48
24-oct-2016;512,18;103,68
21-oct-2016;507,67;103,41
20-oct-2016;505,72;103,23
19-oct-2016;506,31;103,33
18-oct-2016;504,89;103,39
17-oct-2016;506,28;103,38
14-oct-2016;508,69;103,52
13-oct-2016;510,34;103,55
12-oct-2016;509,24;103,40
11-oct-2016;509,59;103,52
10-oct-2016;507,66;103,37
07-oct-2016;507,51;103,38
06-oct-2016;509,29;103,42
05-oct-2016;508,89;103,50
04-oct-2016;509,49;103,15
03-oct-2016;507,07;103,46
30-sept-2016;504,58;103,27
29-sept-2016;510,16;103,40
28-sept-2016;509,92;102,63
27-sept-2016;493,26;102,35
26-sept-2016;487,63;102,57
21-sept-2016;484,93;102,64
