;SOFIX;BG REIT
20-dec-2022;597,75;182,16
19-dec-2022;597,75;181,38
16-dec-2022;601,38;182,30
15-dec-2022;602,48;182,30
14-dec-2022;602,85;181,59
13-dec-2022;601,58;181,03
12-dec-2022;602,55;181,93
09-dec-2022;603,83;184,42
08-dec-2022;602,4;184,73
07-dec-2022;606,11;184,61
06-dec-2022;606,62;182,16
05-dec-2022;602,61;181,92
02-dec-2022;605,43;182,04
01-dec-2022;601,8;181,73
30-nov-2022;603,44;181,78
29-nov-2022;598,64;181,85
28-nov-2022;596,62;181,86
25-nov-2022;595,75;181,39
24-nov-2022;593,1;179,44
23-nov-2022;591,7;178,88
22-nov-2022;594,39;179,00
21-nov-2022;592,14;178,63
18-nov-2022;593,22;179,40
17-nov-2022;588,89;178,84
16-nov-2022;592,18;179,14
15-nov-2022;595,14;179,33
14-nov-2022;598,51;180,09
11-nov-2022;596,43;179,65
10-nov-2022;602,26;180,17
09-nov-2022;597,45;178,99
08-nov-2022;594,11;177,81
07-nov-2022;592,98;178,18
04-nov-2022;593,87;177,68
03-nov-2022;593,83;177,49
02-nov-2022;590,91;177,74
01-nov-2022;590,21;177,00
31-oct-2022;589,52;177,21
28-oct-2022;587,8;177,12
27-oct-2022;585,75;176,55
26-oct-2022;582,75;176,20
25-oct-2022;580,42;177,40
24-oct-2022;580,18;176,96
21-oct-2022;579,43;177,34
20-oct-2022;579,85;177,99
19-oct-2022;579,58;178,05
18-oct-2022;579,88;178,30
17-oct-2022;577,48;177,61
14-oct-2022;581,7;177,32
13-oct-2022;580,37;176,27
12-oct-2022;582,72;176,59
11-oct-2022;583,11;176,84
10-oct-2022;583,83;177,22
07-oct-2022;581,69;176,84
06-oct-2022;582,54;178,14
05-oct-2022;582,1;178,14
04-oct-2022;583,54;178,12
03-oct-2022;570,94;176,06
30-sept-2022;587,15;178,28
29-sept-2022;585,29;179,16
28-sept-2022;590,37;180,04
27-sept-2022;591,63;179,10
26-sept-2022;591,74;178,57
23-sept-2022;589,13;180,45
21-sept-2022;599,98;181,76
20-sept-2022;601,6;181,45
19-sept-2022;606,48;181,89
16-sept-2022;603,74;182,64
15-sept-2022;605,1;181,70
14-sept-2022;611,62;181,94
13-sept-2022;613,73;183,51
12-sept-2022;612,22;182,83
09-sept-2022;605,2;182,69
08-sept-2022;606,67;182,57
07-sept-2022;607,46;182,45
05-sept-2022;609,6;182,76
02-sept-2022;611,09;183,33
01-sept-2022;615,79;183,27
31-aug-2022;612,34;183,58
30-aug-2022;612,1;183,88
29-aug-2022;606,98;183,20
26-aug-2022;607,75;183,38
25-aug-2022;607,32;182,64
24-aug-2022;617,07;184,32
23-aug-2022;613,28;183,32
22-aug-2022;610,75;183,38
19-aug-2022;614,47;184,32
18-aug-2022;613,9;184,01
17-aug-2022;613,36;185,70
16-aug-2022;614,64;184,54
15-aug-2022;622,29;185,36
12-aug-2022;619,18;185,24
11-aug-2022;614,74;185,29
10-aug-2022;617,13;185,17
09-aug-2022;610,45;185,17
08-aug-2022;607,91;185,10
05-aug-2022;608,44;185,98
04-aug-2022;606,93;185,98
03-aug-2022;599,85;184,79
02-aug-2022;596,54;184,79
01-aug-2022;602,07;184,40
29-iul-2022;599,72;184,01
28-iul-2022;602,48;186,44
27-iul-2022;604,98;185,32
26-iul-2022;605,85;184,96
25-iul-2022;597,74;185,52
22-iul-2022;600,63;185,21
21-iul-2022;608,83;185,39
20-iul-2022;609,59;187,67
19-iul-2022;602,58;187,97
18-iul-2022;607,38;188,53
15-iul-2022;606,89;188,16
14-iul-2022;607,3;186,62
13-iul-2022;598,12;184,42
12-iul-2022;606,68;187,47
11-iul-2022;609,69;186,67
08-iul-2022;615,09;184,39
07-iul-2022;610,96;183,16
06-iul-2022;612,33;183,47
05-iul-2022;610,1;182,54
04-iul-2022;609,24;183,16
01-iul-2022;609,99;180,27
30-iun-2022;613,21;181,38
29-iun-2022;612,5;180,06
